case(random),A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,mode,GU_majority_Ground_truth,Model_pred
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,unassisted,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
6,4,3,4,0,0,1,0,1,3,4,0,0,0,0,4,3,4,0,4,0,unassisted,0,4
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,unassisted,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,unassisted,0,0
